discovered_inc,discovered_agg
14127,14120
20812,20813
7547,7550
4583,4592
28887,28888
19830,19834
11293,11289
10337,10228
58928,58656
26901,26904
14149,14169
64419,64392
43360,43756
145888,145869
56807,56747
8387,8382
30426,30407
17758,17751
50207,50176
4708,4533
125487,125492
30601,30300
16883,16885
15718,15730
10662,10655
1185,1173
45906,46007
140386,140374
28187,28197
8908,8825
19749,19444
4175,4219
20206,19870
18498,18494
27824,27735
9663,9543
7413,7328
8728,8576
25319,24920
30726,30578
80587,80581
56568,56532
43895,43885
17301,17247
5808,5809
26690,26652
53629,53596
15770,15758
19730,19723
3358,3351
126399,126397
84789,84756
2684,2700
77293,77260
48925,48927
95729,95662
17950,17916
39369,39434
7377,6830
28070,28048
15030,15018
20702,20612
26703,26695
40484,40495
45976,45959
10657,10582
6533,6551
23620,23552
10923,10921
26626,26626
13051,13040
71636,71604
12182,12185
30111,30107
14873,14714
38782,38718
28859,28803
9579,9530
8766,8755
63773,63479
32370,32328
77022,76997
6743,6743
6476,6178
8224,8225
20952,20977
6665,6649
14054,14055
35567,35568
31214,31047
10364,10343
5725,5704
4057,4347
6480,6475
35343,35338
22630,22628
10899,10847
35915,35784
10435,10385
23532,23487
28556,28589
87332,87206
34733,34711
42773,42785
19350,19349
3963,3256
21413,21418
59403,59418
2346,2190
29825,29221
32408,32412
20497,19757
4993,4714
16986,16947
36898,36713
57821,57747
38002,37716
9762,9728
35543,35253
36391,36362
9355,9343
2956,2928
79076,79043
19244,19113
22605,22587
1036,939
92200,91830
24312,24062
10588,10524
36664,36650
7869,7783
33221,32999
13529,13499
41691,41583
5616,5466
4568,4557
146507,146506
43875,43829
2054,1970
16879,16793
28264,27973
55222,55198
17920,17879
53443,53422
11698,11590
18029,17758
101172,101477
3269,3280
25743,25507
23680,23232
1737,1664
82304,82138
13799,13562
28891,28826
8618,8595
36730,36700
10449,10318
40862,40109
37676,37649
16841,16835
43368,43380
15971,15102
58141,58140
66456,66411
14337,14227
19733,19770
1709,1309
15029,14730
16364,16238
71193,71174
53053,53095
12959,12701
12617,12727
26348,26260
26864,26666
35493,35492
18668,18179
27449,26990
23586,23500
37354,37363
122016,121942
32950,32669
62241,62175
51602,51492
33292,32979
49142,49235
27021,26698
38391,38283
4425,4311
53906,53877
49051,49014
51173,51303
1312,1285
150379,150346
88816,88779
5453,5423
35118,35158
6688,6451
39467,39338
35437,34620
8297,8358
41357,41347
50187,50190
44269,44261
53310,53310
10843,10848
59690,59653
29783,29842
44167,44249
37142,37133
14329,14401
9485,9492
3389,3240
88283,88214
24739,24681
47193,47273
37644,37617
55018,55037
27855,27458
9828,9761
14799,14800
5547,5421
20441,20434
37626,37298
10014,9877
53680,53651
29734,29588
183974,184496
20076,20067
13831,13835
78156,78093
79875,80024
1701,1706
69473,69430
51555,51545
56613,56356
3863,3826
19045,18746
3344,3337
41944,41952
14397,14293
4911,4861
