surely_inc,surely_agg,border_inc,border_agg,surplus_inc,surplus_agg
0,0,2669,2369,0,0
7228,7228,255,235,0,0
9187,9187,297,279,0,0
0,0,7072,6968,0,0
73099,73099,388,588,0,0
0,0,17104,17260,0,0
26410,26410,591,280,0,0
0,0,43128,38397,0,0
0,0,509,411,0,0
44712,44712,3076,1499,0,0
52602,52602,143,114,0,0
0,0,8729,9887,0,0
119421,119421,203,177,0,0
0,0,14583,13721,0,0
19762,19762,160,156,0,0
0,0,30378,29233,0,0
111366,111366,1683,1435,0,0
77173,77173,858,819,0,0
0,0,48204,46748,0,0
1336,1336,195,231,0,0
0,0,59232,58224,0,0
44971,44971,5946,3976,0,0
0,0,32760,36416,0,0
0,0,37088,37670,0,0
0,0,433,399,0,0
0,0,5291,5241,0,0
32914,32914,722,536,0,0
133,133,284,278,0,0
0,0,30509,30417,0,0
4151,4151,72,56,0,0
7574,7574,93,76,0,0
0,0,956,492,0,0
10914,10914,225,163,0,0
7846,7846,276,217,0,0
0,0,445,794,0,0
0,0,1256,1105,0,0
21579,21579,221,206,0,0
7543,7543,197,195,0,0
10749,10749,73,72,0,0
15960,15960,598,586,0,0
24825,24825,637,644,0,0
0,0,1308,977,0,0
22637,22637,1017,253,0,0
0,0,188,175,0,0
11042,11042,230,117,0,0
733,733,708,544,0,0
42177,42177,625,822,0,0
5215,5215,161,122,0,0
7030,7030,150,147,0,0
0,0,242,243,0,0
0,0,468,259,0,0
4866,4866,109,100,0,0
9670,9670,177,151,0,0
17839,17839,105,119,0,0
12226,12226,358,980,0,0
1592,1592,128,186,0,0
35818,35818,51,47,0,0
9331,9331,273,286,0,0
30593,30593,3302,3324,0,0
16796,16796,138,143,0,0
6707,6707,153,120,0,0
20463,20463,100,94,0,0
0,0,678,643,0,0
0,0,1352,1110,0,0
7399,7399,562,394,0,0
0,0,410,398,0,0
0,0,374,230,0,0
14175,14175,273,243,0,0
9039,9039,102,80,0,0
0,0,354,400,0,0
18333,18333,313,172,0,0
4455,4455,697,842,0,0
1862,1862,220,194,0,0
6188,6188,623,138,0,0
7723,7723,456,369,0,0
45235,45235,161,139,0,0
0,0,474,366,0,0
0,0,268,248,0,0
4168,4168,122,124,0,0
20352,20352,461,331,0,0
24783,24783,128,118,0,0
0,0,675,669,0,0
1607,1607,1521,1069,0,0
6423,6423,662,635,0,0
20138,20138,178,87,0,0
16844,16844,188,192,0,0
0,0,1177,1169,0,0
0,0,1573,1479,0,0
46987,46987,806,811,0,0
10600,10600,110,118,0,0
0,0,201,198,0,0
31556,31556,959,637,0,0
6685,6685,164,294,0,0
16999,16999,167,258,0,0
9040,9040,146,141,0,0
12379,12379,849,279,0,0
31134,31134,239,249,0,0
0,0,403,462,0,0
7187,7187,1459,1384,0,0
21204,21204,414,466,0,0
629,629,3514,1423,0,0
18540,18540,73,73,0,0
37000,37000,148,129,0,0
1102,1102,275,217,0,0
11462,11462,298,283,0,0
2451,2451,517,497,0,0
5458,5458,188,165,0,0
0,0,2064,2066,0,0
5909,5909,227,227,0,0
21429,21429,123,109,0,0
4138,4138,1298,1357,0,0
1416,1416,515,174,0,0
17587,17587,645,580,0,0
25395,25395,1298,1838,0,0
0,0,489,482,0,0
14588,14588,1785,1394,0,0
32501,32501,254,214,0,0
7116,7116,445,561,0,0
32729,32729,127,119,0,0
27740,27740,104,68,0,0
1649,1649,213,243,0,0
2500,2500,590,280,0,0
5433,5433,711,459,0,0
36290,36290,231,186,0,0
3849,3849,196,176,0,0
35153,35153,242,281,0,0
30130,30130,258,207,0,0
4077,4077,212,135,0,0
32497,32497,1079,180,0,0
0,0,599,472,0,0
2839,2839,164,93,0,0
16457,16457,479,404,0,0
21971,21971,89,91,0,0
27654,27654,64,49,0,0
8894,8894,584,561,0,0
3102,3102,115,106,0,0
16959,16959,148,137,0,0
1735,1735,499,488,0,0
1858,1858,328,242,0,0
7345,7345,139,151,0,0
26077,26077,213,188,0,0
41143,41143,658,451,0,0
0,0,1298,1121,0,0
1231,1231,409,223,0,0
7140,7140,243,110,0,0
1688,1688,276,255,0,0
17101,17101,275,186,0,0
3892,3892,107,149,0,0
8410,8410,259,158,0,0
2175,2175,303,125,0,0
0,0,475,435,0,0
0,0,621,610,0,0
5089,5089,203,204,0,0
25516,25516,491,452,0,0
5376,5376,191,244,0,0
17118,17118,217,200,0,0
9371,9371,84,93,0,0
11739,11739,816,737,0,0
18789,18789,325,280,0,0
4933,4933,462,316,0,0
0,0,3590,3420,0,0
35202,35202,100,107,0,0
25804,25804,142,131,0,0
6425,6425,351,62,0,0
27650,27650,245,209,0,0
2053,2053,252,255,0,0
18121,18121,184,155,0,0
28612,28612,275,296,0,0
6161,6161,120,118,0,0
12660,12660,152,162,0,0
22633,22633,656,571,0,0
3517,3517,113,110,0,0
6882,6882,465,331,0,0
23617,23617,262,184,0,0
3609,3609,382,326,0,0
41600,41600,554,474,0,0
13295,13295,442,274,0,0
2999,2999,110,84,0,0
1501,1501,288,412,0,0
3032,3032,241,188,0,0
8410,8410,322,299,0,0
6033,6033,194,189,0,0
28483,28483,379,302,0,0
15148,15148,135,169,0,0
0,0,1397,1301,0,0
2540,2540,278,239,0,0
12516,12516,293,271,0,0
