map,rows,cols,nodes,pct_nodes,goals,d_start_goal,h_start_goal,pct_start_goal,explored_0,explored_1,explored_2,explored_3,explored_4,explored_5,pct_explored_1,pct_explored_2,pct_explored_3,pct_explored_4,pct_explored_5,elapsed_0,elapsed_1,elapsed_2,elapsed_3,elapsed_4,elapsed_5,pct_elapsed_1,pct_elapsed_2,pct_elapsed_3,pct_elapsed_4,pct_elapsed_5,changed_0,changed_1,changed_2,changed_3,changed_4,changed_5
maze512-8-3,511,511,232925,0.89,10,2433,564,0.23,149163,149054,149331,146983,146650,146908,1.0,1.0,0.99,0.98,0.98,55.20858645439148,55.12861132621765,56.168007373809814,58.21583104133606,55.69525480270386,58.21683883666992,1.0,1.02,1.05,1.01,1.05,,3073,130073,104363,76407,57390
Moscow_1_1024,1024,1024,796072,0.76,2,446,375,0.84,19320,19019,12576,12576,12576,12576,0.98,0.65,0.65,0.65,0.65,16.346704721450806,17.12524151802063,11.395473003387451,10.353120565414429,10.729868412017822,10.803822755813599,1.05,0.7,0.63,0.66,0.66,,386,11440,5959,4009,2993
Moscow_1_1024,1024,1024,796072,0.76,4,754,753,1.0,3248,3249,3423,3423,3423,3423,1.0,1.05,1.05,1.05,1.05,7.0979554653167725,6.662183523178101,7.665611982345581,7.0789453983306885,7.847491025924683,6.98605751991272,0.94,1.08,1.0,1.11,0.98,,739,88860,52965,35323,26482
Moscow_1_1024,1024,1024,796072,0.76,6,537,504,0.94,27727,20499,13063,13063,13063,13063,0.74,0.47,0.47,0.47,0.47,25.094702005386353,18.77833843231201,12.086109161376953,11.890243768692017,11.807254314422607,11.608402490615845,0.75,0.48,0.47,0.47,0.46,,290,9331,5067,3631,2838
Moscow_1_1024,1024,1024,796072,0.76,8,867,802,0.93,297649,235346,172932,177978,178121,178121,0.79,0.58,0.6,0.6,0.6,845.7023298740387,611.0669164657593,342.04813289642334,378.0316438674927,378.74123549461365,382.0532968044281,0.72,0.4,0.45,0.45,0.45,,2552,172325,124513,85224,63932
Moscow_1_1024,1024,1024,796072,0.76,10,651,582,0.89,64920,44476,19809,21744,21777,21824,0.69,0.31,0.33,0.34,0.34,108.3073399066925,70.01311612129211,29.903974056243896,32.30062556266785,30.819432973861694,30.41769289970398,0.65,0.28,0.3,0.28,0.28,,1530,19773,25017,17780,14400
NewYork_0_1024,1024,1024,792676,0.76,2,1064,933,0.88,144289,143028,104940,104940,104940,104940,0.99,0.73,0.73,0.73,0.73,418.88137340545654,419.50005650520325,274.342759847641,282.46508598327637,273.91594552993774,274.7474591732025,1.0,0.65,0.67,0.65,0.66,,1182,93799,66604,45091,33823
NewYork_0_1024,1024,1024,792676,0.76,4,606,597,0.99,135507,135408,38143,38143,38143,38143,1.0,0.28,0.28,0.28,0.28,247.40906524658203,248.6523404121399,66.88787770271301,66.09034657478333,64.67015814781189,62.746253967285156,1.01,0.27,0.27,0.26,0.25,,1225,54894,41946,34783,26730
NewYork_0_1024,1024,1024,792676,0.76,6,440,439,1.0,764,764,764,764,764,764,1.0,1.0,1.0,1.0,1.0,0.626638650894165,0.589644193649292,0.631650447845459,0.624640703201294,0.5886633396148682,0.7216179370880127,0.94,1.01,1.0,0.94,1.15,,241,3617,5241,6434,7087
NewYork_0_1024,1024,1024,792676,0.76,8,192,191,0.99,582,584,666,666,666,666,1.0,1.14,1.14,1.14,1.14,0.2728393077850342,0.2868173122406006,0.36181092262268066,0.33182597160339355,0.35179686546325684,0.3268284797668457,1.05,1.33,1.22,1.29,1.2,,592,10598,8792,5864,4395
NewYork_0_1024,1024,1024,792676,0.76,10,540,539,1.0,2176,2179,5205,5255,5305,5355,1.0,2.39,2.41,2.44,2.46,2.4596333503723145,2.424651861190796,3.994701623916626,4.2945544719696045,4.003714323043823,4.6753315925598145,0.99,1.62,1.75,1.63,1.9,,2351,40992,41515,31242,24216
orz700d,796,896,95600,0.13,2,283,196,0.69,7463,7332,4103,4103,4103,4103,0.98,0.55,0.55,0.55,0.55,2.209740400314331,2.0138518810272217,0.8625056743621826,0.8955066204071045,0.8574895858764648,1.0723869800567627,0.91,0.39,0.41,0.39,0.49,,193,3809,1897,1267,950
orz700d,796,896,95600,0.13,4,495,282,0.57,36703,28292,14857,14857,14857,14857,0.77,0.4,0.4,0.4,0.4,12.196035861968994,9.380632400512695,4.914193153381348,5.775704383850098,5.165053844451904,4.93220329284668,0.77,0.4,0.47,0.42,0.4,,640,11597,5819,3888,2943
orz700d,796,896,95600,0.13,6,1090,641,0.59,40534,40395,32593,32598,32606,32622,1.0,0.8,0.8,0.8,0.8,15.503218650817871,16.027867794036865,14.129948854446411,14.08599305152893,14.055989503860474,14.349822044372559,1.03,0.91,0.91,0.91,0.93,,1662,31552,21915,14982,11449
orz700d,796,896,95600,0.13,8,399,312,0.78,12187,10143,4971,5082,5213,5356,0.83,0.41,0.42,0.43,0.44,3.8667690753936768,3.2261548042297363,1.0983707904815674,1.1113617420196533,1.1453254222869873,1.2392871379852295,0.83,0.28,0.29,0.3,0.32,,486,4099,2960,2490,1932
orz700d,796,896,95600,0.13,10,549,548,1.0,635,638,632,632,593,653,1.0,1.0,1.0,0.93,1.03,0.7325997352600098,0.7795488834381104,0.731595516204834,0.7405586242675781,0.9584503173828125,0.7435922622680664,1.06,1.0,1.01,1.31,1.02,,95,672,751,315,1431
orz900d,633,1397,96603,0.11,2,834,333,0.4,38417,37901,22741,22741,22741,22741,0.99,0.59,0.59,0.59,0.59,19.89466619491577,20.00558614730835,6.744152307510376,6.295390844345093,6.504272222518921,6.738174915313721,1.01,0.34,0.32,0.33,0.34,,955,21306,26879,17913,13435
