index,domain,name,rows,cols,k,dist_start_goals,nrm_dist_start_goals,dist_between_goals,dijkstra_explored,dijkstra_elapsed,incremental_explored,incremental_elapsed,aggregative_explored,aggregative_elapsed
,Cities,Moscow_1_1024,1024,1024,60,532.27,26.01,15.36,471572,32,81452,7,81386,19
,Cities,Moscow_1_1024,1024,1024,60,536.5,26.22,14.57,247673,16,41285,4,41586,12
,Cities,Moscow_1_1024,1024,1024,80,532.36,26.02,14.84,471572,33,81468,8,81412,25
,Cities,Moscow_1_1024,1024,1024,80,536.45,26.22,14.47,247673,16,41317,4,41744,15
,Cities,Moscow_1_1024,1024,1024,100,531.54,25.98,14.38,471572,32,81488,8,81431,29
,Cities,Moscow_1_1024,1024,1024,100,536.28,26.21,14.24,247673,16,41329,5,42059,19
,Cities,Moscow_1_1024,1024,1024,20,438.55,21.43,12.94,262170,17,18043,2,17962,2
,Cities,Moscow_1_1024,1024,1024,20,442.5,21.63,13.18,212063,14,43198,3,43150,5
,Cities,Moscow_1_1024,1024,1024,40,437.73,21.39,14.54,262170,17,19950,3,19657,3
,Cities,Moscow_1_1024,1024,1024,40,443.15,21.66,13.5,216544,14,43562,4,43520,8
,Cities,Moscow_1_1024,1024,1024,60,436.03,21.31,14.13,262170,18,19959,2,19668,5
,Cities,Moscow_1_1024,1024,1024,60,443.03,21.65,13.69,216544,14,43577,4,43562,10
,Cities,Moscow_1_1024,1024,1024,80,435.45,21.28,13.99,262170,17,19971,3,19584,6
,Cities,Moscow_1_1024,1024,1024,80,443.51,21.68,13.87,216544,14,43604,4,43593,13
,Cities,Moscow_1_1024,1024,1024,100,434.95,21.26,14.09,262170,17,19983,3,19602,8
,Cities,Moscow_1_1024,1024,1024,100,444.24,21.71,13.74,216544,14,43964,4,43953,15
,Cities,Moscow_1_1024,1024,1024,20,741.05,36.22,10.89,666875,47,47435,4,47194,6
,Cities,Moscow_1_1024,1024,1024,20,750.3,36.67,14.42,382963,25,59061,5,59143,7
,Cities,Moscow_1_1024,1024,1024,40,742.9,36.31,11.92,667462,48,48924,5,48712,9
,Cities,Moscow_1_1024,1024,1024,40,752.23,36.77,14.81,382963,24,59105,5,59225,11
,Cities,Moscow_1_1024,1024,1024,60,742.38,36.28,11.9,667462,47,49098,6,48890,13
,Cities,Moscow_1_1024,1024,1024,60,752.87,36.8,13.76,382963,25,59118,6,59259,15
,Cities,Moscow_1_1024,1024,1024,80,741.75,36.25,11.52,667462,47,49119,8,49198,18
,Cities,Moscow_1_1024,1024,1024,80,752.51,36.78,13.72,382963,26,59135,6,59295,19
,Cities,Moscow_1_1024,1024,1024,100,742.27,36.28,11.82,668625,50,49133,8,49348,23
,Cities,Moscow_1_1024,1024,1024,100,752.42,36.78,13.61,382963,25,64770,7,64816,24
,Cities,Moscow_1_1024,1024,1024,20,954.85,46.67,10.1,462973,30,158840,15,158844,22
,Cities,Moscow_1_1024,1024,1024,20,952.95,46.58,14.65,726084,51,120861,12,120875,16
,Cities,Moscow_1_1024,1024,1024,40,953.8,46.62,10.76,465190,30,159980,17,159984,29
,Cities,Moscow_1_1024,1024,1024,40,954.92,46.67,13.76,726119,50,120875,12,120898,22
,Cities,Moscow_1_1024,1024,1024,60,952.78,46.57,11.18,465190,30,160011,16,160017,37
,Cities,Moscow_1_1024,1024,1024,60,954.68,46.66,13.28,726119,51,120883,13,120908,27
,Cities,Moscow_1_1024,1024,1024,80,953.69,46.61,11.51,465190,30,160022,18,160043,46
,Cities,Moscow_1_1024,1024,1024,80,953.5,46.6,13.59,726119,51,120896,13,120920,32
,Cities,Moscow_1_1024,1024,1024,100,953.11,46.58,11.57,465190,31,160050,17,160078,55
,Cities,Moscow_1_1024,1024,1024,100,953.33,46.59,13.82,726124,52,120905,13,120941,38
,Cities,Moscow_1_1024,1024,1024,20,597.95,29.23,13.85,345000,23,52515,5,52546,7
,Cities,Moscow_1_1024,1024,1024,20,604.1,29.53,12.18,304255,20,1389,0,1392,0
,Cities,Moscow_1_1024,1024,1024,40,598.92,29.27,13.61,346085,23,52979,5,53004,9
,Cities,Moscow_1_1024,1024,1024,40,603.05,29.47,11.29,304255,20,1509,1,1521,1
,Cities,Moscow_1_1024,1024,1024,60,599.45,29.3,13.55,348262,23,53010,5,53028,12
,Cities,Moscow_1_1024,1024,1024,60,601.78,29.41,12.43,304943,20,1632,1,1645,2
,Cities,Moscow_1_1024,1024,1024,80,599.44,29.3,13.22,348262,24,53029,6,53049,14
,Cities,Moscow_1_1024,1024,1024,80,601.84,29.42,12.33,304943,20,1646,1,1760,3
,Cities,Moscow_1_1024,1024,1024,100,599.6,29.31,13.28,349347,23,53047,6,53075,18
,Cities,Moscow_1_1024,1024,1024,100,601.97,29.42,12.42,304943,20,1657,1,1774,5
,Cities,Moscow_1_1024,1024,1024,20,765.7,37.42,12.67,444680,30,10283,1,10056,1
,Cities,Moscow_1_1024,1024,1024,20,776.6,37.96,13.33,489206,33,2502,0,2504,0
,Cities,Moscow_1_1024,1024,1024,40,769.1,37.59,14.48,446282,31,10404,2,10244,2
,Cities,Moscow_1_1024,1024,1024,40,777.48,38,13.75,489206,33,2542,1,2553,1
,Cities,Moscow_1_1024,1024,1024,60,770.28,37.65,14.98,446308,30,10429,2,10279,4
,Cities,Moscow_1_1024,1024,1024,60,774.47,37.85,14.64,489206,33,2611,1,2569,2
,Cities,Moscow_1_1024,1024,1024,80,770.4,37.65,14.5,446308,30,10523,3,10454,5
,Cities,Moscow_1_1024,1024,1024,80,774.52,37.86,14.63,489206,35,2632,1,2608,4
,Cities,Moscow_1_1024,1024,1024,100,770.1,37.64,14.56,446308,30,10547,3,10478,7
,Cities,Moscow_1_1024,1024,1024,100,774.42,37.85,14.54,489206,34,2644,2,2621,5
,Cities,Moscow_1_1024,1024,1024,20,320.55,15.67,14.53,163855,10,10189,1,10055,1
,Cities,Moscow_1_1024,1024,1024,20,313.4,15.32,11.78,141360,9,668,0,628,0
,Cities,Moscow_1_1024,1024,1024,40,319.62,15.62,14.05,163875,10,10233,1,10101,2
,Cities,Moscow_1_1024,1024,1024,40,315.2,15.41,12.99,144589,9,707,0,672,0
,Cities,Moscow_1_1024,1024,1024,60,319.18,15.6,14.09,164904,10,10275,1,10141,2
